#Org,Prog,Econ,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,011,31000,DEUDA PÚBLICA. INTERESES,,,,,,1000,
,011,31100,"GASTOS FORMALIZACION, MODIFICACION Y CANCELACION",,,,,,,
,011,91300,AMORTIZACIÓN PRÉSTAMOS LARGO PLAZO,,,,,,,
,132,12000,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO A1,,,,,,,
,132,12001,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO A2,,,,,,13698.06,12985.99
,132,12002,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO B,,,,,,24428.08,12599.48
,132,12003,SEGURIDAD. RETRIBUCIONES BÁSICAS  GRUPO C1.,,,,,,167859.84,156301.28
,132,12005,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO E.,,,,,,16299.08,15884.65
,132,12006,SEGURIDAD Y ORDEN PÚBLICO.TRIENIOS.,,,,,,42917.34,24271.42
,132,12009,SEGURIDAD. OTRAS RETRIBUCIONES BÁSICAS,,,,,,,12644.97
,132,12100,SEGURIDAD. RETRIBUCIONES COMPLEMENTO DESTINO,,,,,,130910.92,119348.8
,132,12101,SEGURIDAD. RETRIBUCIONES COMPLEMENTO ESPECIFICO,,,,,,303716,274923.43
,132,15000,PRODUCTIVIDAD PERSONAL SEGURIDAD,,,,,,,
,132,20400,ARRENDAMIENTO RENTING COCHE POLICIA,,,,,,16300,17303
,132,20401,ARRENDAMIENTO COCHE GUARDA RURAL,,,,,,12487.2,11446.6
,132,21200,REPARAC. Y MANT. EDIFICIO POLICIA LOCAL,,,,,,1500,1586.84
,132,22100,ENERGÍA ELECTRÍCA EDIFICIO POLICIA LOCAL,,,,,,7000,8444.96
,132,22104,VESTUARIO POLICIA LOCAL,,,,,,10500,11250.98
,132,22699,GASTOS DIVERSOS SEGURIDAD,,,,,,2500,36682.01
,132,22799,SEGURIDAD. TRABAJOS REALIZADOS POR OTRAS EMPRESAS,,,,,,9000,11469.27
,132,23300,SEGURIDAD. OTRAS INDEMNIZACIONES,,,,,,2500,1260
,132,46200,SEGURIDAD. TRANSFERENCIAS A AYUNTAMIENTOS,,,,,,40000,25940.88
,132,50000,SEGURIDAD. FONDO DE CONTINGENCIA,,,,,,3519.16,
,132,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,6106.35,6106.35
,133,22109,ORDENACIÓN DEL TRAFICO Y ESTACIONAMIENTO. PLACAS SEÑALIZACIO,,,,,,6500,9102.59
,133,22711,RETIRADA DE VEHICULOS,,,,,,12500,14214.48
,133,62700,P.COMPLEJO INV. NUEVA FUNCION.SERVICIOS IFS/18 PILONAS,,,,,,,
,135,22699,GASTOS DIVERSOS. PROTECCION CIVIL,,,,,,3000,4049.17
,135,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,151,12000,URBANISMO. RETRIBUCIONES BÁSICAS GRUPO A1,,,,,,31155.32,30837.84
,151,12001,URBANISMO RETRIBUCIONES BÁSICAS  GRUPO A2.,,,,,,73219.21,13775.89
,151,12003,URBANISMO RETRIBUCIONES BÁSICAS  GRUPO C1.,,,,,,20982.48,10727.38
,151,12004,URBANISMO RETRIBUCIONES BÁSICAS GRUPO C2.,,,,,,,8984.37
,151,12006,URBANISMO. RETRIBUCIONES BÁSICAS TRIENIOS.,,,,,,22131.43,12354.47
,151,12009,OTRAS RETRIBUCIONES BÁSICAS.,,,,,,,1118.67
,151,12100,URBANISMO Y ARQUITECTURA.RETRIB. COMPL. DESTINO.,,,,,,78797.77,39283.01
,151,12101,URBANISMO Y ARQUITECTURA. RETRIB. COMPL. ESPECIFICO.,,,,,,105918.79,61268.28
,151,15000,URBANISMO PRODUCTIVIDAD,,,,,,,
,151,22100,URBANISMO. ENERGIA ELECTRICA,,,,,,4500,
,151,22608,URBANISMO. GASTOS DIVERSOS,,,,,,1000,668.94
,151,22699,URBANISMO OTROS GASTOS DIVERSOS,,,,,,,
,151,22706,URBANSIMO. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,88000,85612.73
,151,50000,URBANISMO. FONDO DE CONTINGENCIA,,,,,,1809.1,
,151,60000,ADQUISICION DE TERRENOS,,,,,,92647.5,92647.5
,151,62700,REVISION PGOU,,,,,,,
,155,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE. PILONAS",,,,,,,
,160,22706,ALCANTARILLADO. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,15000,
,160,61900,INV DE REPOSICION EN ELEMENTOS DE ALCANTARILLADO,,,,,,,
,161,22101,"ABASTECIMIENTO DOMICILIARIO DE AGUA, CONSUMO AGUA",,,,,,90000,75725.31
,161,22706,ABASTECIMIENTO AGUA POTABLE. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,10598.4,
,161,48000,SUBVENCIONES BIENESTAR COMUNITARIO,,,,,,50000,49989.94
,163,22700,LIMPIEZA VIARIA. LIMPIEZA Y ASEO.,,,,,,1000,
,164,21200,CEMENTERIIO. RREPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,,,,,,7500,3723.28
,164,62200,CEMENTERIO. INVERSION NUEVA EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,20000,18795.58
,165,21300,"ALUMBRADO PÚBLICO.REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,40000,21008.62
,165,22100,ALUMBRADO PÚBLICO.ENERGÍA ELECTRÍCA.,,,,,,110000,129818.53
,165,61900,OTRAS INV INFRAESTR Y BIENES USO GRAL. ALUMBRADO PCO,,,,,,,
,165,61901,OTRAS INV INFRAESTR Y BIENES USO GRAL. ALUMBRADO LOMIQUIA,,,,,,,
,165,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,158931,9452.52
,165,62500,MOBILIARIO Y ENSERES,,,,,,,
,165,63300,SUSTITUCION LAMPARAS ALUMBRADO PÚBLICO (PINV),,,,,,40000,
,171,22699,PARQUES Y JARDINES.OTROS GASTOS DIVERSOS,,,,,,30000,60764.38
,171,22700,PARQUES Y JARDINES.LIMPIEZA Y ASEO,,,,,,141000,119624.96
,171,60900,PARQUES Y JARDINES. INV. INFRAESTRUCTURAS Y B. USO GENERAL,,,,,,125534.81,
,171,60901,INVERSION MEJORA 'EL CAMPICO',,,,,,10000,10000
,171,61900,INVERSION EN PARQUES Y JARDINES PARA USO GENERAL,,,,,,,
,171,61901,INV ACCESIBILIDAD CALLE ACEQUIA,,,,,,,
,171,62200,INV NUEVA EDIFICIOS Y OTRAS CONSTRUC. EL CAMPICO,,,,,,52598.7,52598.7
,171,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,19315.01,19315.01
,171,62500,PARQUES Y JARDINES. MOBILIARIO Y ENSERES,,,,,,1802.9,1802.9
,171,62700,P.COMPLEJO ADECUACIÓN ACCESIBILIDAD PARQUE C/ ACEQUIA,,,,,,64.88,
,171,62701,URBANIZACION PLAZA 1 DE MAYO (PARQUE DE LA LOMIQUIA),,,,,,,
,230,22699,ADMINISTRACION GENERAL SS. GASTOS DIVERSOS,,,,,,29500,
,231,16000,SEGURIDAD SOCIAL,,,,,,865305.22,891081.46
,231,16008,ASISTENCIA MÉDICO FARMACEÚTICA A FUNCIONARIOS,,,,,,30000,4223.76
,231,21200,SERVICIOS SOCIALES. REPARACION Y MANTENIMIENTO,,,,,,2000,1754.33
,231,22100,SERVICIOS SOCIALES. ENERGIA ELECTRICA,,,,,,4000,4571.1
,231,22613,"PROGRAMA """"MENJAR A CASA""""",,,,,,5000,
,231,22616,SERVICIO AYUDA A DOMICILIO,,,,,,40000,44219.55
,231,22699,ACCIÓN SOCIAL. GASTOS DIVERSOS,,,,,,110000,66897.32
,231,48000,ATENCIONES BENEFICAS Y ASISTENCIALES (SERV. SOCIAL),,,,,,7600,5700
,231,50000,SEGURIDAD SOCIAL. FONDO DE CONTINGENCIA,,,,,,11448.79,
,241,22699,FOMENTO DEL EMPLEO.GASTOS DIVERSOS,,,,,,33500,96.8
,241,47000,FOMENTO DEL EMPLEO.SUBVENCIONES PARA FOMENTO DEL EMPLEO.,,,,,,,
,311,22106,PRODUCTOS FARMACÉUTICOS (BOTIQUINES),,,,,,,
,311,22113,MANUTENCIÓN DE ANIMALES,,,,,,1000,222.4
,311,22700,ACCIONES RELATIVAS A LA SALUD. TRABAJOS OTRAS EMPRESAS,,,,,,58000,64056.98
