#Org,Prog,Econ,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,011,31000,DEUDA PÚBLICA. INTERESES,,,,,,1000,
,011,31100,"GASTOS FORMALIZACION, MODIFICACION Y CANCELACION",,,,,,,
,011,91300,AMORTIZACIÓN PRÉSTAMOS LARGO PLAZO,,,,,,,
,132,12000,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO A1,,,,,,,
,132,12001,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO A2,,,,,,13698.06,2090.75
,132,12002,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO B,,,,,,24428.08,2222.56
,132,12003,SEGURIDAD. RETRIBUCIONES BÁSICAS  GRUPO C1.,,,,,,167859.84,34610.03
,132,12005,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO E.,,,,,,16299.08,3603.48
,132,12006,SEGURIDAD Y ORDEN PÚBLICO.TRIENIOS.,,,,,,42917.34,5223.27
,132,12009,SEGURIDAD. OTRAS RETRIBUCIONES BÁSICAS,,,,,,,1021.95
,132,12100,SEGURIDAD. RETRIBUCIONES COMPLEMENTO DESTINO,,,,,,130910.92,25585.69
,132,12101,SEGURIDAD. RETRIBUCIONES COMPLEMENTO ESPECIFICO,,,,,,303716,60701.43
,132,15000,PRODUCTIVIDAD PERSONAL SEGURIDAD,,,,,,,
,132,20400,ARRENDAMIENTO RENTING COCHE POLICIA,,,,,,16300,2710.4
,132,20401,ARRENDAMIENTO COCHE GUARDA RURAL,,,,,,12487.2,3121.8
,132,21200,REPARAC. Y MANT. EDIFICIO POLICIA LOCAL,,,,,,1500,326.12
,132,22100,ENERGÍA ELECTRÍCA EDIFICIO POLICIA LOCAL,,,,,,7000,3626.24
,132,22104,VESTUARIO POLICIA LOCAL,,,,,,10500,3278.53
,132,22699,GASTOS DIVERSOS SEGURIDAD,,,,,,2500,7604.85
,132,22799,SEGURIDAD. TRABAJOS REALIZADOS POR OTRAS EMPRESAS,,,,,,9000,2581.17
,132,23300,SEGURIDAD. OTRAS INDEMNIZACIONES,,,,,,2500,
,132,46200,SEGURIDAD. TRANSFERENCIAS A AYUNTAMIENTOS,,,,,,40000,
,132,50000,SEGURIDAD. FONDO DE CONTINGENCIA,,,,,,3519.16,
,132,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,133,22109,ORDENACIÓN DEL TRAFICO Y ESTACIONAMIENTO. PLACAS SEÑALIZACIO,,,,,,6500,5564.18
,133,22711,RETIRADA DE VEHICULOS,,,,,,12500,1772.65
,135,22699,GASTOS DIVERSOS. PROTECCION CIVIL,,,,,,3000,405
,151,12000,URBANISMO. RETRIBUCIONES BÁSICAS GRUPO A1,,,,,,31155.32,5645.61
,151,12001,URBANISMO RETRIBUCIONES BÁSICAS  GRUPO A2.,,,,,,73219.21,3150.18
,151,12003,URBANISMO RETRIBUCIONES BÁSICAS  GRUPO C1.,,,,,,20982.48,2365.26
,151,12004,URBANISMO RETRIBUCIONES BÁSICAS GRUPO C2.,,,,,,,1968.54
,151,12006,URBANISMO. RETRIBUCIONES BÁSICAS TRIENIOS.,,,,,,22131.43,2875.03
,151,12009,OTRAS RETRIBUCIONES BÁSICAS.,,,,,,,161.53
,151,12100,URBANISMO Y ARQUITECTURA.RETRIB. COMPL. DESTINO.,,,,,,78797.77,7668.94
,151,12101,URBANISMO Y ARQUITECTURA. RETRIB. COMPL. ESPECIFICO.,,,,,,105918.79,11784.86
,151,15000,URBANISMO PRODUCTIVIDAD,,,,,,,
,151,22100,URBANISMO. ENERGIA ELECTRICA,,,,,,4500,
,151,22608,URBANISMO. GASTOS DIVERSOS,,,,,,1000,426.41
,151,22699,URBANISMO OTROS GASTOS DIVERSOS,,,,,,,201.83
,151,22706,URBANSIMO. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,75000,6352.45
,151,50000,URBANISMO. FONDO DE CONTINGENCIA,,,,,,1809.1,
,151,62501,MOBILIARIO URBANO. PUNTO DE RECARGA,,,,,,,
,160,22706,ALCANTARILLADO. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,15000,
,160,60000,INVERSION EN TERRERNOS PARA SANEAMIENTO AGUAS RESIDUALES,,,,,,,
,161,22101,"ABASTECIMIENTO DOMICILIARIO DE AGUA, CONSUMO AGUA",,,,,,90000,105639.37
,161,22706,ABASTECIMIENTO AGUA POTABLE. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,15000,
,161,48000,SUBVENCIONES BIENESTAR COMUNITARIO,,,,,,,
,161,61900,INVERSIONES EN INFRAESTRUCTURAS Y BIENES USO GENERAL,,,,,,,
,163,22700,LIMPIEZA VIARIA. LIMPIEZA Y ASEO.,,,,,,1000,
,164,21200,CEMENTERIIO. RREPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,,,,,,2500,
,164,62200,CEMENTERIO. INVERSION NUEVA EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,20000,
,165,21300,"ALUMBRADO PÚBLICO.REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,35000,8107
,165,22100,ALUMBRADO PÚBLICO.ENERGÍA ELECTRÍCA.,,,,,,110000,22708.55
,165,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,165,63300,SUSTITUCION LAMPARAS ALUMBRADO PÚBLICO (PINV),,,,,,,
,171,22699,PARQUES Y JARDINES.OTROS GASTOS DIVERSOS,,,,,,20000,37034.02
,171,22700,PARQUES Y JARDINES.LIMPIEZA Y ASEO,,,,,,150000,25802.39
,171,60900,PARQUES Y JARDINES. INV. INFRAESTRUCTURAS Y B. USO GENERAL,,,,,,,
,171,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,171,62500,PARQUES Y JARDINES. MOBILIARIO Y ENSERES,,,,,,,
,230,22699,ADMINISTRACION GENERAL SS. GASTOS DIVERSOS,,,,,,29500,
,231,16000,SEGURIDAD SOCIAL,,,,,,985305.22,255530.01
,231,16008,ASISTENCIA MÉDICO FARMACEÚTICA A FUNCIONARIOS,,,,,,30000,1492.96
,231,21200,SERVICIOS SOCIALES. REPARACION Y MANTENIMIENTO,,,,,,2000,326.37
,231,22100,SERVICIOS SOCIALES. ENERGIA ELECTRICA,,,,,,4000,1126.52
,231,22613,"PROGRAMA """"MENJAR A CASA""""",,,,,,5000,
,231,22616,SERVICIO AYUDA A DOMICILIO,,,,,,40000,5405.96
,231,22699,ACCIÓN SOCIAL. GASTOS DIVERSOS,,,,,,110000,16613.12
,231,48000,ATENCIONES BENEFICAS Y ASISTENCIALES (SERV. SOCIAL),,,,,,7600,
,231,50000,SEGURIDAD SOCIAL. FONDO DE CONTINGENCIA,,,,,,11448.79,
,241,22699,FOMENTO DEL EMPLEO.GASTOS DIVERSOS,,,,,,19500,
,241,47000,FOMENTO DEL EMPLEO.SUBVENCIONES PARA FOMENTO DEL EMPLEO.,,,,,,61000,
,311,22106,PRODUCTOS FARMACÉUTICOS (BOTIQUINES),,,,,,,
,311,22113,MANUTENCIÓN DE ANIMALES,,,,,,1000,165.25
,311,22700,ACCIONES RELATIVAS A LA SALUD. TRABAJOS OTRAS EMPRESAS,,,,,,31000,5287.7
,312,22699,GASTOS DIVERSOS CONCEJALIA SANIDAD,,,,,,34500,24726.76
,313,22699,PROMOCION DE LA SALUD,,,,,,45000,5835.76
,320,22691,GASTOS VARIOS CHESTE DECIDE,,,,,,,
,320,22699,GASTOS DIVERSOS CONCEJALIA EDUCACION,,,,,,25000,5410.35
,320,47200,EDUCACIÓN SUB.REDUCIR  PRECIO A PAGAR POR LOS CONSUMIDOREES,,,,,,7000,
,320,62500,MOBILIARIO Y ENSERES,,,,,,,
,323,21200,EDUCACIÓN.- REPARAC. Y MANT. EDIFICIOS,,,,,,30000,10828.62
,323,22100,EDUCACIÓN. ENERGÍA ELECTRÍCA. COLEGIOS,,,,,,45000,10678.17
,323,22102,EDUCACIÓN. COMBUSTIBLE GAS,,,,,,12000,2870.35
,323,22700,EDUCACIÓN.LIMPIEZA Y ASEO.,,,,,,60000,13985.07
,323,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,323,63200,INVERSION EN EDIFICIOS Y CONSTR ENSEÑANZA PREESCOLAR,,,,,,,
,324,48000,ATENCIONES BENEFICAS Y ASISTENCIALES (SERV. SOCIAL),,,,,,90000,9600
