#Ejercicio,Org,Econ,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2020,,11200,I.B.I. RUSTICA,,,126000,135668.98
2020,,11300,I.B.I. URBANA,,,3405000,3389849.44
2020,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,,,407000,414948.24
2020,,11600,IMPTO. I.V.T.M.U. (PLUSVALIAS),,,570000,643724.52
2020,,13000,ACTIVIDADES ECONÓMICAS,,,350000,456562.1
2020,,13100,RECARGO PROVINCIAL SOBRE EL I.A.E.,,,75000,112556.95
2020,,29000,IMPTOS. SOBRE CONSTRUCCIONES E INSTALACIONES (ICO),,,416000,433906.09
2020,,30200,T.P.S. RECOGIDA BASURAS,,,226000,257687.39
2020,,30500,LONJAS Y MERCADOS,,,25000,7639.95
2020,,30901,CEMENTERIO,,,5000,3697.4
2020,,31200,T. ACTIVIDADES SERVICIOS EDUCATIVOS,,,37000,27487.29
2020,,31300,TASA ACTIVIDADES CONCEJALIA DEPORTES,,,3000,
2020,,31900,TASA ACTIVIDADES CONCEJALIA CULTURA,,,13000,8311
2020,,31901,TASA ACTIVIDADES CONCEJALIA FIESTAS,,,10000,
2020,,31902,ACTIVIDADES CONCEJALIA MEDIO AMBIENTE,,,,
2020,,31903,ACTIVIDADES CONCEJALIA SANIDAD,,,500,
2020,,31904,CONCEJALIA DE JUVENTUD,,,100,
2020,,31905,CONCEJALIA DE TURISMO,,,100,
2020,,32100,T.P.S. LICENCIAS URBANISTICAS,,,14000,21338.3
2020,,32200,T.P.S. CEDULA HABITABILIDAD,,,1000,804.88
2020,,32300,OTROS SERV. URBANISTICOS,,,13000,27390.46
2020,,32500,T.P.S. EXPEDICION DE DOCUMENTOS,,,1000,223
2020,,32600,RETIRADA VEHÍCULOS VÍA PÚBLICA,,,17000,16748
2020,,32900,PRUEBAS SELECTIVAS,,,2000,10475.3
2020,,33000,TASA POR ESTACIONAMIENTO DE VEHICULOS,,,,
2020,,33001,"T. ODPL OCUP. SUELO, VUELO Y SUBSUELO T. USO PCO.  L.",,,,
2020,,33004,"T. ODPL BARRACAS, PUESTOS DE VENTA ...",,,1000,1522.75
2020,,33100,T. ODPL ENTRADA VEHIC. EDIF. Y RESER. APARC. VADOS,,,63000,57565.97
2020,,33200,"T. UTILIZ PRIV APROV ESPECIAL EMPRESAS EXPL SERV (SUELO, VUE",,,153000,122522.55
2020,,33500,T. ODPL OCUPAC. VIA PÚBLICA CON MESAS Y SILLAS,,,27000,262.79
2020,,33800,T. COMPENSACION TELEFONICA ESPAÑA SA,,,19000,9689.15
2020,,33900,T. UTILIZACION PRIVATIVA DEL DOMINIO PUBLICO,,,37000,42806.29
2020,,33901,OCUPACION VIA PUBLICA ACTIVIDADES PARALELAS MUNDIAL MOTOCICL,,,23000,47
2020,,33902,T. ODPL NICHOS CEMENTERIO,,,9000,12673
2020,,33903,DE FAM.E INST.SIN FINES LUCRO.GAN.APRV.PASTOS,,,14000,10226.58
2020,,33904,T.ODPL. OCUP. VIA PCA. MATERIALES/MAQUINARIA CONSTRUC.,,,2000,7245.94
2020,,36000,PLACAS  VADOS Y CICLOMOTORES,,,50,
2020,,36900,OTRAS VENTAS,,,400,437.28
2020,,38900,REINTEGROS,,,27000,115611.55
2020,,39120,MULTAS,,,27000,52114.19
2020,,39200,RECARGOS POR DECLARACION EXTEMP SIN REQUERIMIENTO PREVIO,,,1000,
2020,,39211,RECARGO DE APREMIO,,,42000,18764.3
2020,,39212,COSTAS RECAUDACION,,,500,5.16
2020,,39301,INTERESES DE DEMORA,,,12000,15030.7
2020,,39610,Cuotas de urbanización,,,,
2020,,39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA,,,7909.43,5673.65
2020,,39900,OTROS INGRESOS DIVERSOS.,,,1000,20
2020,,39901,RECURSOS EVENTUALES,,,8000,19.74
2020,,39902,ANUNCIOS,,,300,
2020,,42000,PARTICIPACION MUNICIPAL EN LOS TRIBUTOS DEL ESTADO,,,1634998.92,1742691.25
2020,,42090,OTRAS TRANSFERENCIAS CORRIENTES DEL ESTADO,,,,3117.88
2020,,42300,"DE EMPRESAS PUBLICAS Y OTROS ENTES(FVMP,..)",,,,7439.6
2020,,45001,TRANSFERENCIAS CCAA INCONDICIONADAS,,,55251,
2020,,45002,DE LA ADMON. GRAL. C.V. CONS. SANIDAD (UPC),,,12000,
2020,,45003,DE LA ADMON GENERAL DE LAS CCAA (EMCORD),,,,
2020,,45004,DE LA ADMON GENERAL DE LAS CCAA (EMCORP),,,22780.4,20228.85
2020,,45005,TRANSFERENCIAS CORRIENTES DE LAS CCAA,,,59063.5,
2020,,45030,"CONSELLERIA DEPORTES/EDUCACIÓN (EPA, programas deportivos...",,,40000,97063.5
2020,,45050,DE LA ADMON. GRAL C.V.  CONS. (ADL),,,14700,204604.97
2020,,45051,DE LA ADMON GENERAL DE CCAA (EMCUJU),,,40649.97,51595.6
2020,,45052,DE LA ADMON GENERAL DE CCAA (EMPUJU),,,62991.12,32597.76
2020,,45053,I.B.I. RUSTICA,,,49500,25897
2020,,45080,DE LA ADMON. GRAL. C.V. CONS. TURISMO Y OTROS,,,18682.75,35950.21
2020,,46100,"DIPUTAC. PROVINCIAL CULTURA/BIENESTAR SOCIAL (JUVENT., SARC.",,,94000,269284.73
2020,,46101,TRANSFERENCIAS DE DIPUTACION INCONDICIONADAS,,,311596,312396
2020,,46202,OTRAS SUBVENCIONES DIPUTACION PROVINCIAL,,,8291.11,18915.11
2020,,46300,TRANSFERENCIAS MANCOMUNIDAD HOYA BUÑOL,,,,
2020,,47000,APORT.EMPRESAS PRIVADAS (MUNDIAL),,,,
2020,,47001,TRANSFERENCIAS DE EMPRESAS PRIVADAS,,,,
2020,,48001,DE FAMILIAS E INSTITUCIONES (ENTS BANCARIAS),,,,2000
2020,,48002,TRANSFERENCIAS CORRIENTES. OTROS,,,,1971.75
2020,,48004,DONACIONES,,,,
2020,,52000,INTERESES EN CUENTAS CORRIENTES,,,6000,637.14
2020,,54200,PRODUCTO ARRENDAMIENTOS FINCAS RUSTICAS,,,17000,27433.51
2020,,55000,DE CONCESIONES ADMTIVAS CON CONTRAPRESTACIÓN PERIÓDICA,,,30000,3156.56
2020,,55500,EXPLOTACION CANTERAS,,,,
2020,,55900,OTROS (CANONES),,,51000,99464.72
2020,,60000,ENAJENACION SOLARES,,,,42038.67
2020,,60100,ENAJENACION FINCAS RUSTICAS,,,,
2020,,60200,PARCELAS SOBRANTES VIA PUBLICA,,,,
2020,,72000,TRANSFERENCIAS DE CAPITAL DEL ESTADO,,,,
2020,,75000,SUBVENCION GENERALITAT,,,131783.31,14393.28
2020,,75001,CONSELLERIA (PLAN MEJORA MUNICIPIOS C.V.),,,,
2020,,75003,TRANSFERENCIAS DE CAPITAL DE LA CCAA EN MATERIA DE EDUCACION,,,,
2020,,75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,,,,
2020,,75080,Otras transferencias de capital de la Administración General,,,1172319.54,
2020,,76100,TRANSFERENCIAS DE CAPITAL DE DIPUTACIÓN.,,,783883.36,203813.25
2020,,76104,TRANSFERENCIAS DE CAPITAL,,,,
2020,,76300,DE MANCOMUNIDADES DE MUNICIPIOS,,,,
2020,,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,,,,
2020,,78000,TRANSFERENCIA FAMILIAS E  INST. SIN FINES LUCRO,,,,
2020,,83000,REINTEGRO DE PRÉSTAMOS AL PERSONAL,,,20000,9077.62
2020,,87000,REMANENTE DE TESORERIA,,,363319.71,
2020,,87010,APLICACION FINANCIACION INCORPORAC CREDITO (RTE. TES. GFA),,,1583136.28,
2020,,91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,73965.5,
2020,,91101,PRÉSTAMOS INVERSIONES LARGO PLAZO,,,,
2020,,91300,Préstamos recibidos a largo plazo de entes de fuera del sect,,,,
