#Ejercicio,Org,Econ,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2019,,11200,I.B.I. RUSTICA,,,126000,134343.2
2019,,11300,I.B.I. URBANA,,,3405000,3318469
2019,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,,,407000,412694.3
2019,,11600,IMPTO. I.V.T.M.U. (PLUSVALIAS),,,570000,927544.2
2019,,13000,ACTIVIDADES ECONÓMICAS,,,350000,403003.64
2019,,13100,RECARGO PROVINCIAL SOBRE EL I.A.E.,,,75000,81471.41
2019,,29000,IMPTOS. SOBRE CONSTRUCCIONES E INSTALACIONES (ICO),,,416000,911985.16
2019,,30200,T.P.S. RECOGIDA BASURAS,,,226000,251191.54
2019,,30500,LONJAS Y MERCADOS,,,25000,21687.82
2019,,30901,CEMENTERIO,,,5000,3451.5
2019,,31200,T. ACTIVIDADES SERVICIOS EDUCATIVOS,,,37000,42931.88
2019,,31300,TASA ACTIVIDADES CONCEJALIA DEPORTES,,,3000,
2019,,31900,TASA ACTIVIDADES CONCEJALIA CULTURA,,,13000,10781
2019,,31901,TASA ACTIVIDADES CONCEJALIA FIESTAS,,,10000,4664
2019,,31902,ACTIVIDADES CONCEJALIA MEDIO AMBIENTE,,,,
2019,,31903,ACTIVIDADES CONCEJALIA SANIDAD,,,500,
2019,,31904,CONCEJALIA DE JUVENTUD,,,100,2718
2019,,31905,CONCEJALIA DE TURISMO,,,100,46
2019,,32100,T.P.S. LICENCIAS URBANISTICAS,,,14000,20390.96
2019,,32200,T.P.S. CEDULA HABITABILIDAD,,,1000,1162.47
2019,,32300,OTROS SERV. URBANISTICOS,,,13000,31112.31
2019,,32500,T.P.S. EXPEDICION DE DOCUMENTOS,,,1000,750.13
2019,,32600,RETIRADA VEHÍCULOS VÍA PÚBLICA,,,17000,26540.11
2019,,32900,PRUEBAS SELECTIVAS,,,2000,210
2019,,33000,TASA POR ESTACIONAMIENTO DE VEHICULOS,,,,
2019,,33001,"T. ODPL OCUP. SUELO, VUELO Y SUBSUELO T. USO PCO.  L.",,,,32508.81
2019,,33004,"T. ODPL BARRACAS, PUESTOS DE VENTA ...",,,1000,1392.61
2019,,33100,T. ODPL ENTRADA VEHIC. EDIF. Y RESER. APARC. VADOS,,,63000,54539.15
2019,,33200,"T. UTILIZ PRIV APROV ESPECIAL EMPRESAS EXPL SERV (SUELO, VUE",,,153000,128633.79
