#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013.0,,11,IMPUESTOS SOBRE EL CAPITAL.,0.0,0.0,0.0,0.0
2013.0,,11200,I.B.I. RUSTICA,103920.89,0.0,103920.89,109029.39
2013.0,,11300,I.B.I. URBANA,3087775.75,0.0,3087775.75,3810304.32
2013.0,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,376032.82,0.0,376032.82,384795.6
2013.0,,11600,IMPTO. I.V.T.M.U. (Plus-Valías),254700.71,0.0,254700.71,630848.79
2013.0,,13000,ACTIVIDADES ECONÓMICAS,327606.58,0.0,327606.58,316058.45
2013.0,,13100,RECARGO PROVINCIAL SOBRE EL I.A.E.,68321.58,0.0,68321.58,70751.53
2013.0,,29000,IMPTOS. SOBRE CONSTRUCCIONES E INSTALACIONES (ICO),72887.39,0.0,72887.39,64291.92
2013.0,,30200,T.P.S. RECOGIDA BASURAS,210685.72,0.0,210685.72,228515.4
2013.0,,30500,LONJAS Y MERCADOS,10000.0,0.0,10000.0,29048.12
2013.0,,30901,CEMENTERIO,3600.0,0.0,3600.0,3824.5
2013.0,,31200,T. ACTIVIDADES SERVICIOS EDUCATIVOS,40000.0,0.0,40000.0,40110.79
2013.0,,31300,TASA ACTIVIDADES CONCEJALIA DEPORTES,1000.0,0.0,1000.0,1645.5
2013.0,,31900,TASA ACTIVIDADES CONCEJALIA CULTURA,3000.0,0.0,3000.0,19370.74
2013.0,,31901,TASA ACTIVIDADES CONCEJALIA FIESTAS,5000.0,0.0,5000.0,6232.0
2013.0,,31902,ACTIVIDADES CONCEJALIA MEDIO AMBIENTE,100.0,0.0,100.0,0.0
2013.0,,31903,ACTIVIDADES CONCEJALIA SANIDAD,1600.0,0.0,1600.0,35.0
2013.0,,31904,CONCEJALIA DE JUVENTUD,3000.0,0.0,3000.0,0.0
2013.0,,31905,CONCEJALIA DE TURISMO,0.0,0.0,0.0,0.0
2013.0,,32100,T.P.S. LICENCIAS URBANISTICAS,25000.0,0.0,25000.0,27298.02
2013.0,,32200,T.P.S. CEDULA HABITABILIDAD,2000.0,0.0,2000.0,2896.23
2013.0,,32300,OTROS SERV. URBANISTICOS,17000.0,0.0,17000.0,40902.87
2013.0,,32500,T.P.S. EXPEDICION DE DOCUMENTOS,500.0,0.0,500.0,758.3
2013.0,,32600,RETIRADA VEHÍCULOS VÍA PÚBLICA,4000.0,0.0,4000.0,14239.0
2013.0,,32900,PRUEBAS SELECTIVAS,2000.0,0.0,2000.0,1425.0
2013.0,,33000,TASA POR ESTACIONAMIENTO DE VEHICULOS,1000.0,0.0,1000.0,-90.0
2013.0,,33001,"T. ODPL OCUP. SUELO, VUELO Y SUBSUELO T. USO PCO.  L.",0.0,0.0,0.0,0.0
2013.0,,33004,"T. ODPL BARRACAS, PUESTOS DE VENTA ...",0.0,0.0,0.0,810.5
2013.0,,33100,T. ODPL ENTRADA VEHIC. EDIF. Y RESER. APARC. VADOS,55000.0,0.0,55000.0,52305.25
2013.0,,33500,T. ODPL OCUPAC. VIA PÚBLICA CON MESAS Y SILLAS,16500.0,0.0,16500.0,18564.63
2013.0,,33900,"OCUPACION SUELO, VUELO Y SUBSUELO",206813.55,0.0,206813.55,261739.1
2013.0,,33901,OCUPACION VIA PUBLICA ACTIVIDADES PARALELAS MUNDIAL MOTOCICL,20000.0,0.0,20000.0,20901.7
2013.0,,33902,T. ODPL NICHOS CEMENTERIO,5000.0,0.0,5000.0,3518.5
2013.0,,33903,DE FAM.E INST.SIN FINES LUCRO.GAN.APRV.PASTOS,4000.0,0.0,4000.0,18526.86
2013.0,,33904,T.ODPL. OCUP. VIA PCA. MATERIALES/MAQUINARIA CONSTRUC.,0.0,0.0,0.0,343.9
2013.0,,36000,PLACAS  VADOS Y CICLOMOTORES,190.0,0.0,190.0,0.0
2013.0,,38900,REINTEGROS,0.0,0.0,0.0,28463.21
2013.0,,39120,MULTAS,8000.0,0.0,8000.0,45166.11
2013.0,,39211,RECARGO DE APREMIO,12000.0,0.0,12000.0,44999.69
2013.0,,39212,COSTAS RECAUDACION,500.0,0.0,500.0,1234.12
2013.0,,39301,INTERESES DE DEMORA,1500.0,0.0,1500.0,1788.96
2013.0,,39700,CANON POR APROVECHAMIENTOS URBANÍSTICOS.,0.0,0.0,0.0,0.0
2013.0,,39901,RECURSOS EVENTUALES,1000.0,0.0,1000.0,3583.43
2013.0,,39902,ANUNCIOS,1000.0,0.0,1000.0,0.0
2013.0,,42000,PARTICIPACION MUNICIPAL EN LOS TRIBUTOS DEL ESTADO,1487510.38,0.0,1487510.38,1477564.99
2013.0,,42090,OTRAS TRANSFERENCIAS CORRIENTES DEL ESTADO,0.0,0.0,0.0,0.0
2013.0,,42300,"DE EMPRESAS PUBLICAS Y OTROS ENTES(FVMP,..)",0.0,0.0,0.0,16742.8
2013.0,,45002,DE LA ADMON. GRAL. C.V. CONS. SANIDAD (UPC),12000.0,0.0,12000.0,0.0
2013.0,,45030,"CONSELLERIA DEPORTES/EDUCACIÓN (EPA, programas deportivos...",30000.0,0.0,30000.0,125829.19
2013.0,,45050,DE LA ADMON. GRAL C..V  CONS. (ADL),14700.0,99375.0,114075.0,66284.41
2013.0,,45080,DE LA ADMON. GRAL. C.V. CONS. TURISMO (ORIENT. TURISTICA),0.0,0.0,0.0,5483.38
2013.0,,46100,"DIPUTAC. PROVINCIAL CULTURA/BIENESTAR SOCIAL (JUVENT., SARC.",56000.0,107666.5,163666.5,-14025.74
2013.0,,46202,OTRAS SUBVENCIONES DIPUTACION PROVINCIAL,0.0,24400.0,24400.0,61819.77
