#Org,Prog,Econ,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,011,31000,DEUDA PÚBLICA. INTERESES,,,,,,3000,
,011,31100,"GASTOS FORMALIZACION, MODIFICACION Y CANCELACION",,,,,,,
,011,91300,AMORTIZACIÓN PRÉSTAMOS LARGO PLAZO,,,,,,1500000,
,132,12000,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO A1,,,,,,,20412.23
,132,12001,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO A2,,,,,,13380.03,13372.04
,132,12002,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO B,,,,,,23479.4,15010.68
,132,12003,SEGURIDAD. RETRIBUCIONES BÁSICAS  GRUPO C1.,,,,,,164290.45,160989.64
,132,12005,SEGURIDAD. RETRIBUCIONES BÁSICAS GRUPO E.,,,,,,15920.79,14756.1
,132,12006,SEGURIDAD Y ORDEN PÚBLICO.TRIENIOS.,,,,,,43260.45,40187.03
,132,12009,SEGURIDAD. OTRAS RETRIBUCIONES BÁSICAS,,,,,,,974.85
,132,12100,SEGURIDAD. RETRIBUCIONES COMPLEMENTO DESTINO,,,,,,126566.02,121978.91
,132,12101,SEGURIDAD. RETRIBUCIONES COMPLEMENTO ESPECIFICO,,,,,,283704.5,265757.61
,132,15000,PRODUCTIVIDAD PERSONAL SEGURIDAD,,,,,,2515.16,
,132,20400,ARRENDAMIENTO RENTING COCHE POLICIA,,,,,,10500,9641.28
,132,20401,ARRENDAMIENTO COCHE GUARDA RURAL,,,,,,11500,2799.54
,132,21200,REPARAC. Y MANT. EDIFICIO POLICIA LOCAL,,,,,,1000,4469.84
,132,22100,ENERGÍA ELECTRÍCA EDIFICIO POLICIA LOCAL,,,,,,9000,5170.67
,132,22104,VESTUARIO POLICIA LOCAL,,,,,,12000,12563.01
,132,22699,GASTOS DIVERSOS SEGURIDAD,,,,,,2000,20871.53
,132,22799,SEGURIDAD. TRABAJOS REALIZADOS POR OTRAS EMPRESAS,,,,,,6070,5132.94
,132,23300,SEGURIDAD. OTRAS INDEMNIZACIONES,,,,,,2000,2631.3
,132,46200,SEGURIDAD. TRANSFERENCIAS A AYUNTAMIENTOS,,,,,,31350,29078.8
,132,50000,SEGURIDAD. FONDO DE CONTINGENCIA,,,,,,,
