#Ejercicio,Org,Econ,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,,11200,I.B.I. RUSTICA,,,125712.33,125605.01
2018,,11300,I.B.I. URBANA,,,3557466.42,3693969.02
2018,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,,,402950.68,407448.52
2018,,11600,IMPTO. I.V.T.M.U. (PLUSVALIAS),,,570000,276831.9
2018,,13000,ACTIVIDADES ECONÓMICAS,,,353812.66,365368.86
2018,,13100,RECARGO PROVINCIAL SOBRE EL I.A.E.,,,79781.42,74820.08
2018,,29000,IMPTOS. SOBRE CONSTRUCCIONES E INSTALACIONES (ICO),,,170000,672834.8
2018,,30200,T.P.S. RECOGIDA BASURAS,,,303670.6,252048.8
2018,,30500,LONJAS Y MERCADOS,,,25000,24338.05
2018,,30901,CEMENTERIO,,,4000,4482
2018,,31200,T. ACTIVIDADES SERVICIOS EDUCATIVOS,,,30000,39856.28
2018,,31300,TASA ACTIVIDADES CONCEJALIA DEPORTES,,,1000,60
2018,,31900,TASA ACTIVIDADES CONCEJALIA CULTURA,,,15000,12712.76
2018,,31901,TASA ACTIVIDADES CONCEJALIA FIESTAS,,,5000,9575
2018,,31902,ACTIVIDADES CONCEJALIA MEDIO AMBIENTE,,,,
2018,,31903,ACTIVIDADES CONCEJALIA SANIDAD,,,300,12
2018,,31904,CONCEJALIA DE JUVENTUD,,,,1275
2018,,31905,CONCEJALIA DE TURISMO,,,300,45
2018,,32100,T.P.S. LICENCIAS URBANISTICAS,,,25000,46698.07
2018,,32200,T.P.S. CEDULA HABITABILIDAD,,,1000,2288.42
2018,,32300,OTROS SERV. URBANISTICOS,,,20000,17970.69
2018,,32500,T.P.S. EXPEDICION DE DOCUMENTOS,,,,349
2018,,32600,RETIRADA VEHÍCULOS VÍA PÚBLICA,,,12000,24548.89
2018,,32900,PRUEBAS SELECTIVAS,,,5000,12380.6
2018,,33000,TASA POR ESTACIONAMIENTO DE VEHICULOS,,,,
2018,,33001,"T. ODPL OCUP. SUELO, VUELO Y SUBSUELO T. USO PCO.  L.",,,,18019.99
2018,,33004,"T. ODPL BARRACAS, PUESTOS DE VENTA ...",,,1000,2031.5
2018,,33100,T. ODPL ENTRADA VEHIC. EDIF. Y RESER. APARC. VADOS,,,60000,55540.88
2018,,33200,"T. UTILIZ PRIV APROV ESPECIAL EMPRESAS EXPL SERV (SUELO, VUE",,,240000,181948.04
2018,,33500,T. ODPL OCUPAC. VIA PÚBLICA CON MESAS Y SILLAS,,,18000,17919.88
2018,,33800,T. COMPENSACION TELEFONICA ESPAÑA SA,,,15000,19326.55
2018,,33900,T. UTILIZACION PRIVATIVA DEL DOMINIO PUBLICO,,,,
2018,,33901,OCUPACION VIA PUBLICA ACTIVIDADES PARALELAS MUNDIAL MOTOCICL,,,20000,38496.34
2018,,33902,T. ODPL NICHOS CEMENTERIO,,,10000,11542.5
2018,,33903,DE FAM.E INST.SIN FINES LUCRO.GAN.APRV.PASTOS,,,6000,
2018,,33904,T.ODPL. OCUP. VIA PCA. MATERIALES/MAQUINARIA CONSTRUC.,,,2000,1998.85
2018,,36000,PLACAS  VADOS Y CICLOMOTORES,,,,10
